Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220uF,CP_Elec_10x10,63.608,-41.51,180,top
C2,220uF,CP_Elec_10x10,63.608,-53.194,180,top
C3,180uF,CP_Elec_6.3x7.7,36.684,-60.179,180,top
C4,180uF,CP_Elec_6.3x7.7,42.78,-68.434,270,top
C5,4.7uF,C_0805_2012Metric,40.367,-75.673,90,top
C6,100nF,C_0805_2012Metric,37.192,-75.673,90,top
C7,100nF,C_0805_2012Metric,47.479,-86.341,0,top
C8,1nF,C_0805_2012Metric,52.559,-84.69,270,top
C9,100nF,C_0805_2012Metric,156.622,-122.409,0,top
C10,1nF,C_0805_2012Metric,41.129,-86.341,180,top
C11,100nF,C_0805_2012Metric,36.938,-86.341,0,top
C12,100nF,C_0805_2012Metric,161.144,-95.993,90,top
C13,100nF,C_0805_2012Metric,171.304,-95.993,90,top
C14,100nF,C_0805_2012Metric,41.383,-106.026,180,top
C15,100nF,C_0805_2012Metric,41.383,-108.566,180,top
C16,100nF,C_0805_2012Metric,37.065,-119.869,180,top
C17,100nF,C_0805_2012Metric,41.256,-116.186,0,top
C18,4.7uf,C_0805_2012Metric,41.256,-119.869,0,top
C19,1nF,C_0805_2012Metric,155.048,-30.334,0,top
C20,100n,C_0805_2012Metric,87.357,-64.751,270,top
C21,100nF,C_0805_2012Metric,148.952,-33.382,90,top
C22,100n,C_0805_2012Metric,87.357,-48.241,270,top
C23,100nf,C_0805_2012Metric,127.235,-97.46,0,top
C24,22uf,C_0805_2012Metric,31.731,-88.5635,0,top
C25,22uf,C_0805_2012Metric,31.731,-99.8665,0,top
C26,4.7uF,C_0805_2012Metric,41.383,-99.93,180,top
C27,100nF,C_0805_2012Metric,41.444,-102.47,180,top
D1,B5819W,D_SOD-123,105.645,-95.226,0,top
D2,B5819W,D_SOD-123,87.611,-95.226,0,top
D3,B5819W,D_SOD-123,69.831,-95.226,0,top
D4,B5819W,D_SOD-123,51.924,-95.226,0,top
D5,B5819W,D_SOD-123,147.174,-38.208,180,top
D6,SS54,D_SMA,54.972,-50.152,270,top
D7,LED,LED_0805_2012Metric,55.988,-82.751,270,top
D11,LED,LED_0805_2012Metric,125.457,-44.304,0,top
D12,LED,LED_0805_2012Metric,120.504,-44.304,0,top
D13,LED,LED_0805_2012Metric,115.297,-44.304,0,top
D14,LED,LED_0805_2012Metric,110.3925,-44.304,0,top
D15,LED,LED_0805_2012Metric,110.471,-95.358,0,top
D16,LED,LED_0805_2012Metric,92.564,-95.236,0,top
D17,LED,LED_0805_2012Metric,74.657,-95.236,0,top
D18,LED,LED_0805_2012Metric,56.75,-95.236,0,top
D20,LED,LED_0805_2012Metric,28.494,-82.751,270,top
D21,LED,LED_0805_2012Metric,169.272,-110.469,180,top
